osmid,grid_index,y,x
321814648,1445,41.721714,12.4984918
321814141,1446,41.7204483,12.5016132
321813409,1447,41.722649,12.5074403
2196671310,1448,41.7192522,12.5153964
321810243,1449,41.7212518,12.5188511
321808310,1450,41.7199821,12.5231884
423372780,1451,41.7227597,12.5291384
908374820,1453,41.7201994,12.5407739
6451175217,1456,41.7201099,12.5594225
322296999,1458,41.7221206,12.5728391
322300273,1459,41.7212327,12.5763976
1864791909,1460,41.7203981,12.5815194
908375328,1461,41.7200442,12.5895164
322318625,1462,41.7205192,12.5930589
1599924084,1463,41.7197572,12.5985943
347314443,1508,41.7261265,12.2861309
388134333,1509,41.7249871,12.2894308
2399657353,1510,41.7252962,12.2956452
389841648,1512,41.7229912,12.3083151
389908687,1516,41.723965,12.3294873
130777518,1518,41.7269615,12.339825
1379624067,1519,41.7256701,12.348654
1445283277,1520,41.7247667,12.3535039
1445283281,1521,41.7249012,12.3582528
2207562642,1522,41.7247254,12.3639666
321832969,1523,41.726522,12.370712
987004335,1524,41.7246136,12.3753397
1828463123,1540,41.7228895,12.4655821
321811541,1542,41.7235078,12.4769397
321813390,1546,41.7249475,12.5025783
6380448137,1547,41.7246551,12.5063093
908385390,1548,41.7256273,12.5108064
321809265,1549,41.7250999,12.5191612
321808141,1550,41.7247711,12.5234685
322294311,1559,41.7238306,12.5768479
322295755,1560,41.7246545,12.5801114
1864769369,1561,41.723182,12.5886566
370054176,1606,41.7304851,12.2737493
388110872,1607,41.7297647,12.2782602
388110856,1608,41.7295219,12.2844886
366547419,1609,41.7294287,12.29032
393992358,1610,41.7293451,12.2952839
393980454,1611,41.7296422,12.3015519
393938993,1612,41.7309651,12.3054384
389866934,1613,41.7310742,12.3155834
347302394,1614,41.7313719,12.3158987
389908684,1617,41.7289707,12.3361536
1445283438,1618,41.7285724,12.3430553
2452262140,1619,41.7292792,12.3466232
2174953409,1620,41.7301604,12.3514861
1445283464,1621,41.7293409,12.3587476
1445283468,1622,41.7294109,12.3642819
331114419,1623,41.7302957,12.3681153
1023643462,1624,41.7292377,12.376215
1023643380,1625,41.7295011,12.3816734
262406326,1634,41.729296,12.4343303
1817310519,1641,41.7275869,12.4739585
319627102,1642,41.7287182,12.477054
319626430,1643,41.7295905,12.4824063
6410780650,1644,41.7287952,12.4899638
321812336,1647,41.7288092,12.5062828
908385246,1648,41.7295009,12.5122607
322328869,1657,41.730724,12.565224
2174082762,1660,41.7304137,12.5824598
370039925,1703,41.7357869,12.2576695
366158454,1704,41.7345621,12.261496
366149043,1705,41.7337767,12.267615
370445390,1706,41.7336099,12.2724958
1227315777,1707,41.7338286,12.2780646
393896695,1708,41.7337615,12.283974
393925235,1709,41.7338189,12.2896184
394033119,1710,41.7346122,12.2961606
1574643007,1711,41.7341639,12.3011062
332320534,1713,41.733423,12.3128767
548921071,1714,41.7343674,12.3195874
2070819365,1717,41.7342726,12.3370606
2070819350,1718,41.7320892,12.3398388
523887737,1719,41.7340852,12.3482644
1445283609,1720,41.733675,12.3532899
1445503349,1721,41.7340959,12.3587179
1445283604,1722,41.7335092,12.3639712
1445283603,1723,41.7335061,12.3702213
988037559,1724,41.733877,12.3758152
1023803673,1725,41.7341673,12.3811466
268962310,1734,41.7347672,12.4319515
2092893192,1740,41.7339398,12.469141
2092893211,1741,41.7348484,12.4722753
6413405997,1742,41.7344741,12.4796735
319627346,1743,41.733734,12.4850857
319627431,1744,41.7331034,12.4889474
317879742,1754,41.7342871,12.5499729
317881275,1755,41.7337917,12.5532199
317881990,1756,41.7340975,12.5579302
251776193,1757,41.735722,12.5626946
1918618156,1760,41.7337518,12.5818156
2140826343,1762,41.7333922,12.5918521
382982919,1800,41.7391625,12.2379912
382982878,1801,41.7403439,12.2418911
