u_index,u,v_index,v,length
3604,309294440,3605,309294531,0.060168732
3607,1421279828,3707,309293389,0.042736555
3657,6268126323,3757,1233060740,0.005292241
3681,257362163,3781,1342200955,0.028349051
3699,246158446,3799,246158706,0.050387585
3706,1421279832,3707,309293389,0.030588698
3721,364855510,3821,2121251551,0.013249923
3736,1578078710,3836,25418891,0.041200353
3756,4150909524,3757,1233060740,0.01320716
3762,252716627,3763,252714272,0.058009114
3775,8284993959,3776,2322149506,0.017838673
3776,2322149506,3876,257752686,0.036677184
3780,257483812,3781,1342200955,0.03014769
3780,257483812,3880,257483813,0.054191598
3781,1342200955,3881,257483808,0.053707724
3798,304556355,3799,246158706,0.020774462
3821,2121251551,3822,281043577,0.044842559
3822,281043577,3823,281042896,0.052217322
3822,281043577,3922,364855514,0.037421245
3823,281042896,3923,281042895,0.027548484
3836,25418891,3837,25418889,0.035577689
3849,669160648,3949,2126941296,0.039923782
3876,257752686,3877,929586813,0.040092126
3880,257483813,3881,257483808,0.025875864
3922,364855514,3923,281042895,0.051491551
3948,252608212,3949,2126941296,0.020055
3949,2126941296,4049,255457312,0.049509794
4051,32633413,4151,122571142,0.03869429
4076,257485319,4176,257485315,0.063413168
4083,257485922,4183,276549444,0.055386293
4121,32650585,4221,281043897,0.066815758
4203,309297808,4303,1397852758,0.041593127
4205,1443767519,4305,279743838,0.048220942
4220,309301771,4221,281043897,0.054498725
4221,281043897,4321,1510786605,0.029580165
4247,255457313,4248,255455536,0.02271195
4300,25388289,4400,850866980,0.056059729
4302,677443038,4303,1397852758,0.036253843
4305,279743838,4306,756777430,0.027046771
4317,309302518,4417,309302513,0.02553308
4374,25643607,4375,257485305,0.030488396
4374,25643607,4474,270197928,0.042968526
4378,257485313,4478,257485308,0.058399903
4385,276549465,4386,248782763,0.051594726
4386,248782763,4387,276549464,0.081638693
4387,276549464,4388,276549463,0.045348705
4387,276549464,4487,276549467,0.013084583
4456,270325411,4457,25418915,0.010823307
4474,270197928,4574,25643610,0.01431389
4482,9657623428,4483,9657623427,0.049973152
4482,9657623428,4582,248674607,0.03808764
4483,9657623427,4583,257485302,0.027572318
4508,32631122,4509,309299606,0.040620588
4508,32631122,4608,279746146,0.045110027
4516,304572700,4616,1444831059,0.035238791
4552,122570350,4652,250889367,0.028843718
4555,3567191129,4655,1351150950,0.046747669
4581,257485321,4582,248674607,0.060152626
4582,248674607,4583,257485302,0.026830118
4604,677442257,4605,279746427,0.05175793
4616,1444831059,4716,309303592,0.030780429
4719,2138699730,4720,2138699732,0.050816336
4720,2138699732,4721,304727605,0.008859347
4753,270325624,4754,32633399,0.049054686
4753,270325624,4853,242161441,0.051843107
4781,270197929,4881,248665025,0.014589648
4797,259029410,4897,248531688,0.050373305
4828,281045225,4829,261870618,0.019801143
4829,261870618,4929,309307047,0.059678648
4835,2122726526,4935,261870185,0.047761524
4850,617242274,4950,32633401,0.042738391
4881,248665025,4981,257485303,0.065609344
4896,259028890,4897,248531688,0.062186982
4896,259028890,4996,248531764,0.061966192
4906,1172899329,5006,279746150,0.030737047
4911,279746708,5011,309300889,0.051791945
4929,309307047,5029,2122813107,0.029019236
4935,261870185,4936,1193906503,0.035731522
4949,246150528,4950,32633401,0.037919794
4949,246150528,5049,246151146,0.054309137
4950,32633401,4951,617242273,0.031708094
4950,32633401,5050,246150584,0.017745168
4971,2582362060,4972,2582362059,0.019257012
4971,2582362060,5071,1243130446,0.044856678
4972,2582362059,5072,1243130404,0.033336742
5004,1438933040,5005,758154458,0.045601855
5005,758154458,5006,279746150,0.026288727
5011,309300889,5111,309300912,0.034882213
5029,2122813107,5030,309307061,0.052720818
5030,309307061,5130,309307062,0.026326042
