u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
5213265688,81943314,0,739641954,False,,unclassified,10.831,,30 mph,,South Welch Street,,"LINESTRING (-97.1443606 33.2114298, -97.1443601 33.2115272)"
5213265688,6021242034,0,739641954,False,,unclassified,47.717,,30 mph,,South Welch Street,,"LINESTRING (-97.1443606 33.2114298, -97.1443668 33.2110007)"
5213265694,2665604962,0,365519041,False,4,tertiary,3.659,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550827 33.2114511, -97.1550833 33.2114182)"
5213265694,81831419,0,365519041,False,4,tertiary,7.973,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550827 33.2114511, -97.1550823 33.2115228)"
5213265695,1655564152,0,375216841,False,4,tertiary,2.091,,,,Jagoe Street,,"LINESTRING (-97.1506077 33.215775, -97.150611 33.2157564)"
5213265695,81835489,0,375216841,False,4,tertiary,4.114,,,,Jagoe Street,,"LINESTRING (-97.1506077 33.215775, -97.1506012 33.2158116)"
5213265696,2657172878,0,1047028708,True,,tertiary,7.545,,,,Avenue C,,"LINESTRING (-97.1507104 33.2147322, -97.1507135 33.2146644)"
5213265698,5213265680,0,603574574,True,,residential,4.522,,,,Avenue A,,"LINESTRING (-97.1464045 33.2145757, -97.1464257 33.2146123)"
5213265699,8822913117,0,9976832,False,,residential,99.704,,,,Fry Street,,"LINESTRING (-97.1464334 33.2147177, -97.146421 33.2156143)"
5213265699,5060888365,0,9976832,False,,residential,7.628,,,,Fry Street,,"LINESTRING (-97.1464334 33.2147177, -97.1464339 33.2146491)"
5213265701,1655564157,0,9969650,True,,tertiary,96.241,,,,North Avenue C,,"LINESTRING (-97.1506389 33.2147317, -97.1506111 33.2155969)"
5213265702,4789323846,0,62049255,True,2,tertiary,28.428,,,,North Texas Boulevard,,"LINESTRING (-97.1536306 33.2063961, -97.1533976 33.2062307)"
5213265704,5060888365,0,365519044,True,2,secondary,8.606,,,,West Hickory Street,,"LINESTRING (-97.1465264 33.2146499, -97.1464339 33.2146491)"
5213265707,2973807939,0,152774047,True,2,secondary,112.63,,,,West Hickory Street,,"LINESTRING (-97.1505201 33.2146637, -97.1493094 33.2146611)"
5213265709,6024806594,0,365519044,True,2,secondary,62.332,,,,West Hickory Street,,"LINESTRING (-97.1463306 33.2146472, -97.1456606 33.2146419)"
5213265710,81797228,0,152774059,True,2,secondary,106.046,,,,West Oak Street,,"LINESTRING (-97.1507201 33.2157019, -97.15186 33.21571)"
5213265711,5115466897,0,739641955,False,,unclassified,97.138,,30 mph,,South Welch Street,,"LINESTRING (-97.1443118 33.2126908, -97.1442903 33.2135642)"
5213265711,81989193,0,739641955,False,,unclassified,8.107,,30 mph,,South Welch Street,,"LINESTRING (-97.1443118 33.2126908, -97.1443127 33.2126179)"
5213265714,1630768299,0,1047028708,True,,tertiary,4.176,,,,Avenue C,,"LINESTRING (-97.1506644 33.2156343, -97.1506714 33.2155972)"
5213265715,81818248,0,365519034,False,,tertiary,9.923,,,,Eagle Drive,,"LINESTRING (-97.1535786 33.2065799, -97.153502 33.206642)"
5213265715,81818246,0,365519034,False,,tertiary,8.775,,,,Eagle Drive,,"LINESTRING (-97.1535786 33.2065799, -97.1536365 33.2065176)"
5213265717,81989193,0,739641955,False,,unclassified,111.121,,30 mph,,South Welch Street,,"LINESTRING (-97.1443586 33.2116193, -97.1443127 33.2126179)"
5213265717,81943314,0,739641955,False,,unclassified,10.242,,30 mph,,South Welch Street,,"LINESTRING (-97.1443586 33.2116193, -97.1443601 33.2115272)"
5213265719,2657172878,0,1047028707,True,3,secondary,8.727,,,,West Hickory Street,,"LINESTRING (-97.1508073 33.2146654, -97.1507135 33.2146644)"
5222006413,81974577,0,9980628,False,,residential,40.487,,,,Exposition Street,,"LINESTRING (-97.1235637 33.2136859, -97.1235618 33.21405)"
5222006413,8594032237,0,9980628,False,,residential,12.643,,,,Exposition Street,,"LINESTRING (-97.1235637 33.2136859, -97.1235642 33.2135722)"
5222006414,81930513,0,9976009,False,,residential,17.957,,,,Frame Street,,"LINESTRING (-97.1250536 33.2156804, -97.12506 33.215519)"
5222006414,81930511,0,9976009,False,,residential,9.969,,,,Frame Street,,"LINESTRING (-97.1250536 33.2156804, -97.12505 33.21577)"
5222006419,81941924,0,1040402648,False,,secondary,51.096,FM 426,,,East McKinney Street,,"LINESTRING (-97.1270098 33.2163853, -97.1264611 33.2163645)"
5222006419,81810227,0,1040402648,False,,secondary,33.548,FM 426,,,East McKinney Street,,"LINESTRING (-97.1270098 33.2163853, -97.12737 33.2164)"
5257708529,8731198168,0,521609560,False,,residential,32.813,,,,West Prairie Street,,"LINESTRING (-97.156846 33.2108359, -97.1564933 33.2108358)"
5257708529,5052262324,0,521609560,False,,residential,29.836,,,,West Prairie Street,,"LINESTRING (-97.156846 33.2108359, -97.1571667 33.2108359)"
5257708536,5213265685,0,518150884,False,4,tertiary,61.781,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550759 33.2121736, -97.1550803 33.211618)"
5257708536,2973798720,0,518150884,False,4,tertiary,27.221,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550759 33.2121736, -97.1550739 33.2124184)"
5357020254,9504653105,0,555208674,False,,residential,3.981,,,,Frame Street,,"LINESTRING (-97.1248379 33.2163439, -97.1248387 33.2163081)"
5357020254,81930490,0,555208675,False,,residential,22.086,,,yes,Frame Street,,"LINESTRING (-97.1248379 33.2163439, -97.124834 33.2165425)"
5357020255,2973937136,0,1026483060,False,,secondary,12.855,,,,North Bonnie Brae Street,,"LINESTRING (-97.1613878 33.2148545, -97.161389 33.2147389)"
5357020255,7589677161,0,1026483060,False,,secondary,58.758,,,,North Bonnie Brae Street,,"LINESTRING (-97.1613878 33.2148545, -97.1613823 33.2153829)"
5357020256,5357020255,0,555208676,True,,secondary_link,6.234,,,,,,"LINESTRING (-97.1614525 33.2148399, -97.1613878 33.2148545)"
5357020257,5357020256,0,555208676,True,,secondary_link,4.402,,,,,,"LINESTRING (-97.1614997 33.2148371, -97.1614525 33.2148399)"
5357020258,5357020257,0,555208676,True,,secondary_link,4.472,,,,,,"LINESTRING (-97.1615477 33.2148393, -97.1614997 33.2148371)"
5357020259,5357020258,0,555208676,True,,secondary_link,7.795,,,,,,"LINESTRING (-97.1616295 33.2148545, -97.1615477 33.2148393)"
5357020265,81796212,0,9963624,False,,secondary,12.333,,,,West McKinney Street,,"LINESTRING (-97.1344158 33.216694, -97.13429 33.216659)"
5357020265,81796210,0,9963624,False,,secondary,13.688,,,,West McKinney Street,,"LINESTRING (-97.1344158 33.216694, -97.13454 33.21676)"
