u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9036693267,9036693276,0,256877979,West Prairie Street,unclassified,False,20.796,,,,"LINESTRING (-97.1426358 33.2103963, -97.1424123 33.2103931)"
9036693267,2973895706,0,256877979,West Prairie Street,unclassified,False,5.592,,,,"LINESTRING (-97.1426358 33.2103963, -97.1426959 33.2103971)"
9036693276,9532548565,0,256877979,West Prairie Street,unclassified,False,3.136,,,,"LINESTRING (-97.1424123 33.2103931, -97.1423786 33.2103926)"
9036693276,9036693267,0,256877979,West Prairie Street,unclassified,False,20.796,,,,"LINESTRING (-97.1424123 33.2103931, -97.1426358 33.2103963)"
9036697799,8593878463,0,365519043,West Hickory Street,secondary,True,10.94,,,,"LINESTRING (-97.143688 33.2146317, -97.1435704 33.214631)"
9036701382,81989186,0,942213967,West Sycamore Street,unclassified,False,1.675,,,,"LINESTRING (-97.142782 33.2126028, -97.1428 33.212603)"
9036701382,8594052004,0,942213967,West Sycamore Street,unclassified,False,10.234,,,,"LINESTRING (-97.142782 33.2126028, -97.142672 33.2126018)"
9036701404,81989210,0,569686795,West Sycamore Street,unclassified,True,120.373,,,,"LINESTRING (-97.1505212 33.2126601, -97.1492273 33.212662)"
9036760834,7202637858,0,365519043,West Hickory Street,secondary,True,22.411,,,,"LINESTRING (-97.1428201 33.2146264, -97.1425792 33.2146249)"
9036760867,7830824148,0,9968958,North Welch Street,unclassified,False,50.154,,,,"LINESTRING (-97.1442361 33.2151572, -97.1442436 33.2147062)"
9036760867,8859155243,0,9968958,North Welch Street,unclassified,False,50.376,,,,"LINESTRING (-97.1442361 33.2151572, -97.1442285 33.2156102)"
9036760871,9042139698,0,739625069,West Oak Street,secondary,True,37.557,2,,,"LINESTRING (-97.142106 33.2156674, -97.1425097 33.2156708)"
9036760906,81797256,0,739625069,West Oak Street,secondary,True,8.968,2,,,"LINESTRING (-97.1399661 33.215646, -97.1400625 33.2156469)"
