osmid,grid_index,y,x
255400095,9354,41.918282,12.4987287
259329788,9357,41.9183564,12.4999953
259329626,9358,41.9183396,12.5005297
1333380136,9370,41.9183514,12.5063384
259364964,9373,41.9183925,12.5074891
259361082,9378,41.9185575,12.5101414
259357400,9387,41.91853,12.5146307
2226635355,9388,41.9184795,12.5149906
259660087,9398,41.9182702,12.5199916
259280515,9400,41.918883,12.4723485
259275969,9401,41.9188646,12.4729858
259282253,9408,41.9189599,12.4761114
259282256,9410,41.9186315,12.4772201
257492473,9438,41.9187851,12.4906198
261732806,9443,41.9186452,12.4931724
1751775424,9447,41.9187885,12.4952934
1751775421,9448,41.9186876,12.4954876
255398875,9452,41.9187051,12.4975656
255400411,9456,41.9187753,12.4994562
261726481,9459,41.9186915,12.5010354
1107565143,9462,41.9187755,12.5024778
294006415,9467,41.9189329,12.5046302
1114961249,9471,41.918889,12.5067845
1263562782,9473,41.9186307,12.5078114
3030795137,9485,41.918902,12.5137341
297721619,9501,41.9191932,12.4727719
1089848832,9502,41.9192799,12.473514
1117936300,9503,41.9189851,12.4739664
1359720791,9505,41.91907,12.4749684
259282977,9507,41.919316,12.475934
259282984,9511,41.9190391,12.4778566
259299770,9520,41.9192546,12.4822861
2026732006,9525,41.9192786,12.4844753
291638484,9528,41.9189741,12.4859847
745446843,9529,41.9193091,12.4865392
8311098861,9536,41.919024,12.4900973
280135454,9537,41.9189911,12.4902086
255398855,9549,41.9189768,12.4958989
255400035,9553,41.9189796,12.4978634
261726603,9557,41.9192604,12.5001564
261726344,9561,41.9192164,12.5017857
1263552240,9573,41.9192916,12.5076957
259365482,9574,41.9189735,12.5082399
259361079,9576,41.9190832,12.5093341
259362291,9579,41.9189945,12.5103863
1333380149,9584,41.9192649,12.5128603
1333380141,9585,41.9191471,12.513348
259357708,9586,41.9189721,12.5137833
294044648,9595,41.9189824,12.5183454
294016351,9602,41.9195331,12.4734111
259285913,9613,41.9195093,12.4789361
259300311,9620,41.9193988,12.4822001
294019707,9622,41.9195242,12.4830224
294019157,9624,41.9195534,12.4838569
292473204,9642,41.9195465,12.4927333
1335017548,9647,41.9195101,12.4951162
255398642,9654,41.9195328,12.4985167
259357711,9683,41.9195582,12.5123864
259357710,9684,41.9193323,12.5129223
294016366,9710,41.9197663,12.4774388
294016393,9713,41.9197877,12.4787313
3149967407,9731,41.9197531,12.4874279
1107576969,9741,41.9200136,12.4924418
1335017550,9745,41.9200189,12.4942219
261730900,9751,41.9197023,12.4969519
261726588,9755,41.920034,12.4992197
294007239,9759,41.919849,12.5010058
294006745,9765,41.9196812,12.5037463
294006414,9769,41.9198821,12.5059623
259360951,9774,41.9197559,12.5083857
259357394,9780,41.9199603,12.511024
259357714,9781,41.9198489,12.5115753
2226635373,9792,41.9199925,12.5171275
292449375,9797,41.9197859,12.5195254
2676011258,9798,41.9199034,12.5196983
2676011262,9799,41.9199382,12.5202283
259278376,9800,41.9202468,12.472371
1089853542,9801,41.9200694,12.4731678
1104384627,9804,41.9203552,12.4743863
294016094,9810,41.9201223,12.4772211
259282989,9815,41.9203841,12.4798716
259283339,9816,41.9203043,12.4800324
261732454,9841,41.9201915,12.4923633
1335017565,9845,41.9202543,12.4942049
261730834,9852,41.9201292,12.4975638
259607456,9855,41.9200762,12.4991231
294005860,9864,41.9201539,12.5031471
6392941848,9873,41.9200986,12.5076358
301209756,9876,41.9202381,12.5091251
1114961622,9879,41.9201797,12.5107085
259566413,9887,41.9203267,12.5143818
1333360813,9892,41.9201916,12.5169509
292449483,9898,41.9201132,12.5200223
294015409,9905,41.9204615,12.4749324
294015848,9907,41.9205913,12.4757842
294015329,9909,41.9207569,12.4767202
259283347,9915,41.920489,12.4797337
259283342,9917,41.9206702,12.480532
294019369,9922,41.920444,12.4830133
294018420,9925,41.9206886,12.4843212
2623977405,9928,41.9206127,12.4857754
1962391885,9940,41.9206996,12.491623
292474966,9944,41.9206294,12.4936715
292474968,9948,41.9205864,12.4955139
259607698,9951,41.9206183,12.4971713
294007240,9957,41.9207126,12.4998997
294006711,9967,41.920488,12.5049297
6392941846,9974,41.9205521,12.5082414
294002165,9976,41.9205395,12.5092877
6367386013,9982,41.9206372,12.5121841
259566412,9986,41.9206224,12.5138033
248529737,9996,41.9205349,12.5187939
